Title,Content
"The Clock","The antique clock in the hallway always stopped at 3:15 a.m. Sarah thought it was broken. One night, she stayed up to watch it. At exactly 3:15, the clock chimed, and she heard footsteps behind her. She turned, but no one was there."
"The Island","The boat dropped them off with supplies and a promise to return in a week. The island was beautiful, but something felt off. When the week passed, no one came. Then they found the graves—freshly dug, with their names on the headstones."
"The Mirror","Emma bought the mirror at a flea market. It was ornate, with an antique frame. At night, she noticed her reflection didn’t move when she did. One night, her reflection smiled at her—and she wasn’t smiling."
"The Call","“911, what’s your emergency?” the operator asked. “There’s someone in my house,” the woman whispered. The line went dead. When the police arrived, the house was empty—except for the phone, still off the hook. The woman was never found."
"The Doll","Sophie found the doll in the attic. It looked just like her, down to the mole on her cheek. The next morning, she woke up to find the doll in her bed, and her reflection missing from the mirror."
"The Woods","They told her not to go into the woods at night. But when her dog ran off, she had no choice. She found him, barking at something in the darkness. When she turned to leave, she realized the path was gone. Something was watching her."
"The Note","After her husband’s death, Mary found a note in his desk. “If anything happens to me, it wasn’t an accident,” it read. She showed it to the police, but they dismissed it. That night, she heard footsteps in her house."
"The Roommate","Jenna’s new roommate was perfect—friendly, clean, and quiet. But one day, she found a hidden camera in her bedroom. When she confronted her roommate, she smiled. “You weren’t supposed to find that,” she said, locking the door behind her."
"The Storm","The power went out during the storm. Alone in the dark, Rachel lit a candle. She heard a voice whisper her name. “Who’s there?” she called out. The voice laughed. “I’ve always been here.”"
"The Painting","The painting in the gallery caught his eye. It was of a man who looked just like him, standing in a field of red. The title read, “Murderer.” The next day, the man in the painting was gone."
"The Warning","“Don’t trust him,” the stranger said, pointing at her boyfriend. She laughed it off—until she found the photos on his phone. They were of her, taken while she was sleeping."
"The Cabin","The cabin was supposed to be a peaceful retreat. The first night was quiet, but by the second, strange things began to happen. Every morning, the same message appeared on the window, written in condensation: “Leave.” She wiped it away, thinking it was a prank. But on the third night, she woke to find the message written on her bedroom mirror—and the window was locked from the inside."
"The Ring","The ring was beautiful, a vintage piece she found at an estate sale. When she put it on, it fit perfectly. But that night, she started seeing things—shadows moving in the corners of her vision, whispers in the dark. When she tried to take the ring off, it wouldn’t budge. Her finger began to swell, the skin turning black."
"The Stranger","He woke up in a hospital bed with no memory of how he got there. The nurse smiled at him, her face kind but unfamiliar. “You’re lucky to be alive,” she said. But something about her felt wrong. When he tried to leave, he found the doors locked. The other patients whispered to him, “You’re not a patient. You’re the experiment.”"
"The Party","The invitation promised a night to remember. The mansion was grand, the guests glamorous. But when the doors locked and the lights went out, the host appeared on a screen. “Welcome to the game,” he said. “Only one of you will leave alive.” The first scream came from the dining room."
"The Box","The box arrived with no return address. It was small, wrapped in plain brown paper. Inside was a single photograph of her sleeping. She lived alone. That night, she heard footsteps outside her bedroom door."
"The Road","The hitchhiker seemed harmless, a young man with a friendly smile. She dropped him off at a gas station and drove away. But when she got home, she found his wallet in her car. Inside was a photo of her, taken years ago. She didn’t recognize him, but he clearly knew her."
"The Hotel","The hotel room was cheap, and the reviews warned of strange noises. She didn’t believe in ghosts, so she booked it anyway. That night, she heard knocking from inside the closet. When she opened it, there was nothing there—just a faint smell of perfume. The next morning, she found scratches on the inside of the closet door."
"The Lake","The lake was beautiful, surrounded by dense forest. The locals warned her not to swim, but she didn’t listen. The water was cold, but peaceful—until something grabbed her ankle and pulled her under. She fought her way to the surface, gasping for air. When she looked down, she saw pale faces staring up at her from the depths."
"The Mask","The man in the mask followed her home, his footsteps echoing behind her. She called the police, but when they arrived, there was no one there. The next morning, she found the mask on her doorstep, along with a note: “See you tonight.”"
"The Tunnel","The shortcut through the tunnel saved time, but it always made him uneasy. The graffiti on the walls seemed to shift, the words changing every time he passed. One night, he heard footsteps behind him. When he turned, the tunnel was empty—but the graffiti now spelled his name."
"The Voice","The voice on the radio was calm, almost soothing. “Turn left,” it said. “Now stop.” She thought it was a prank, but when she looked around, she realized she was in the middle of nowhere. The voice spoke again: “You shouldn’t have come here.”"
"The Gift","The gift arrived with no note, just a small box tied with a red ribbon. Inside was a necklace, delicate and beautiful. She put it on, but as the day went on, she felt weaker and weaker. By nightfall, she couldn’t move. The last thing she saw was a shadowy figure standing over her, reaching for the necklace."
"The Stranger","The man on the bus smiled at her. “I know what you did,” he said, his voice low. She froze. She didn’t recognize him, but his words sent a chill down her spine. “You thought no one saw,” he continued. “But I did.” When she got off the bus, he followed."
"The House","The house was abandoned, or so they thought. The front door creaked open, revealing a dusty interior. But the dining room table was set for dinner, with fresh food on the plates. As they turned to leave, they heard a voice from upstairs: “You’re just in time.”"
"The Warning","The graffiti on the wall read, “Don’t go inside.” She ignored it, laughing at the superstition. The house was old, but she loved its charm. That night, the door slammed shut behind her, and she heard a voice whisper, “You shouldn’t have come.”"
"The Photograph","The photograph showed her family, smiling in front of their house. But there was a man in the background she didn’t recognize. He was in every photo, always in the same spot, always watching. When she showed the photos to her mother, she gasped. “That’s your father,” she said. “But he died before you were born.”"
"The Letter","The letter arrived with no return address. “I’m watching you,” it read. She laughed it off as a prank, but that night, she noticed a figure standing outside her window. When she called the police, they found no one—but the letter was gone."
"The Woods","The trail was supposed to be safe, a popular spot for hikers. But when she turned around, the path was gone. The trees seemed to close in around her, the air growing colder. She heard whispers, faint but insistent, calling her name."
"The Mirror","The mirror in the hotel bathroom fogged up as she showered. When she wiped it, she saw a message written in the steam: “Get out.” She laughed, thinking it was a prank. But when she turned around, the bathroom door was locked—and she hadn’t locked it."
"The Basement","The basement door was locked, but she could hear something moving inside. Her landlord insisted it was just rats, but the sounds were too loud. One night, she found the key. Inside was a staircase that led down, far deeper than the house should have allowed. At the bottom, she found a door—and something was knocking from the other side."
"The Stranger","The man at the bar bought her a drink. “You won’t remember me,” he said, his smile unsettling. She laughed it off, but when she got home, she found a photo of the two of them together, taken years ago. She had no memory of it."
"The Clock","The clock in the hallway always stopped at midnight. One night, she stayed up to watch it. At exactly midnight, the clock began ticking backward. The air grew cold, and she heard a voice whisper, “Time’s up.”"
"The Warning","The note on her car read, “Don’t drive home.” She ignored it, thinking it was a prank. But as she drove down the highway, her brakes failed. She swerved off the road, narrowly avoiding a crash. When she looked at the note again, it now read, “You’re welcome.”"
"The Doll","The doll in the antique shop looked just like her, down to the scar on her cheek. The shopkeeper smiled. “It’s been waiting for you,” she said. That night, the doll appeared in her bed, its eyes open. She swore she had left it in the living room."
"The Call","The phone rang in the middle of the night. “I’m outside,” the voice said. She looked out the window, but no one was there. When she turned back, the phone rang again. “I’m inside,” the voice whispered."
